time,latitude,longitude,depth,mag,magType,rms,net,id,updated,Date,place,Type,status,locationSource,magSource,Day
2024-04-08T01:26:20.050Z,40.0398331,-121.2963333,-0.86,2.55,md,0.22,nc,nc74031041,2024-04-08T01:28:15.111Z,2024-04-08,"5 km NW of Belden, CA",earthquake,automatic,nc,nc,8
2024-04-08T01:02:54.774Z,4.4008,127.7558,44.513,4.5,mb,0.64,us,us7000mapl,2024-04-08T01:22:36.040Z,2024-04-08,"277 km ESE of Sarangani, Philippines",earthquake,reviewed,us,us,8
2024-04-07T23:16:27.758Z,41.9096,82.2707,10,4.6,mb,0.93,us,us7000mapa,2024-04-08T00:03:50.040Z,2024-04-08,"58 km WNW of Kuqa, China",earthquake,reviewed,us,us,8
2024-04-07T22:49:29.945Z,24.2342,121.8531,30.134,4.6,mb,0.89,us,us7000map5,2024-04-07T23:08:18.040Z,2024-04-07,"38 km NE of Hualien City, Taiwan",earthquake,reviewed,us,us,7
2024-04-07T22:19:57.660Z,-7.504,128.0922,143.804,5,mww,0.95,us,us7000map3,2024-04-07T22:38:42.040Z,2024-04-07,"164 km NE of Lospalos, Timor Leste",earthquake,reviewed,us,us,7
2024-04-07T21:28:41.964Z,11.3458,-85.6124,194.112,4.3,mb,0.82,us,us7000manz,2024-04-07T21:44:13.040Z,2024-04-07,"20 km NW of Cárdenas, Nicaragua",earthquake,reviewed,us,us,7
2024-04-07T20:47:58.740Z,41.8868,82.1535,10,5,mb,0.45,us,us7000manu,2024-04-07T21:04:06.040Z,2024-04-07,"67 km WNW of Kuqa, China",earthquake,reviewed,us,us,7
2024-04-07T20:31:05.606Z,-4.8404,144.3797,11.404,5.1,mb,0.95,us,us7000manr,2024-04-07T22:53:36.088Z,2024-04-07,"92 km SSE of Angoram, Papua New Guinea",earthquake,reviewed,us,us,7
2024-04-07T19:21:19.510Z,18.04516667,-66.8235,15.93,2.46,md,0.11,pr,pr71445078,2024-04-07T19:57:36.850Z,2024-04-07,"3 km ENE of Yauco, Puerto Rico",earthquake,reviewed,pr,pr,7
2024-04-07T17:49:32.324Z,13.7984,-88.995,192.327,5,mb,0.83,us,us7000man5,2024-04-07T18:21:48.638Z,2024-04-07,"1 km NE of Tecoluca, El Salvador",earthquake,reviewed,us,us,7
2024-04-07T17:46:18.833Z,-6.5508,103.9454,42.054,5.2,mb,0.86,us,us7000man4,2024-04-07T21:43:04.051Z,2024-04-07,"191 km SW of Bandar Lampung, Indonesia",earthquake,reviewed,us,us,7
2024-04-07T16:04:43.774Z,-23.0231,-71.0813,11.428,4.9,mb,1.1,us,us7000mamt,2024-04-07T16:20:37.040Z,2024-04-07,"65 km W of Mejillones, Chile",earthquake,reviewed,us,us,7
2024-04-07T15:43:52.061Z,54.6739,-157.7683,19.1,3,ml,0.47,ak,ak0244ibuun4,2024-04-07T17:52:29.040Z,2024-04-07,"163 km SSE of Perryville, Alaska",earthquake,reviewed,ak,ak,7
2024-04-07T14:57:18.321Z,-8.9552,118.6522,20.211,4.9,mb,1.12,us,us7000mamb,2024-04-07T15:14:57.040Z,2024-04-07,"50 km SSE of Dompu, Indonesia",earthquake,reviewed,us,us,7
2024-04-07T14:20:56.519Z,41.7235,82.5169,10,4.3,mb,1.02,us,us7000mam8,2024-04-07T18:00:14.040Z,2024-04-07,"34 km W of Kuqa, China",earthquake,reviewed,us,us,7
2024-04-07T13:53:13.077Z,55.4764,-159.1363,37.2,2.8,ml,0.28,ak,ak0244iaq17v,2024-04-07T16:06:38.040Z,2024-04-07,"48 km S of Perryville, Alaska",earthquake,automatic,ak,ak,7
2024-04-07T13:42:03.374Z,18.997,-68.1246,11.57,3.2,ml,0.89,us,us7000mam2,2024-04-07T16:04:03.040Z,2024-04-07,"54 km NNE of Punta Cana, Dominican Republic",earthquake,reviewed,us,us,7
2024-04-07T12:08:39.344Z,-26.297,-178.6958,353.941,5,mb,0.86,us,us7000malq,2024-04-07T12:24:51.040Z,2024-04-07,south of the Fiji Islands,earthquake,reviewed,us,us,7
2024-04-07T11:57:33.018Z,60.6852,-151.1163,27.8,2.6,ml,0.81,ak,ak0244i9k2fk,2024-04-07T11:59:37.987Z,2024-04-07,"9 km E of Nikiski, Alaska",earthquake,automatic,ak,ak,7
2024-04-07T11:03:09.421Z,41.9156,82.3717,10,4.5,mb,0.58,us,us7000mali,2024-04-07T11:32:36.040Z,2024-04-07,"51 km WNW of Kuqa, China",earthquake,reviewed,us,us,7
2024-04-07T10:01:21.669Z,24.1202,122.0027,36.595,4.9,mww,0.5,us,us7000mal5,2024-04-07T15:50:22.155Z,2024-04-07,"43 km ENE of Hualien City, Taiwan",earthquake,reviewed,us,us,7
2024-04-07T09:53:39.527Z,-20.4433,-178.1201,530.827,4.5,mb,1.09,us,us7000mal2,2024-04-07T10:06:51.040Z,2024-04-07,Fiji region,earthquake,reviewed,us,us,7
2024-04-07T09:51:16.640Z,17.90466667,-66.85633333,15.21,2.77,md,0.11,pr,pr71445028,2024-04-07T11:09:13.910Z,2024-04-07,"8 km SSE of Maria Antonia, Puerto Rico",earthquake,reviewed,pr,pr,7
2024-04-07T09:09:43.890Z,18.8306675,-155.4980011,17.19000053,2.97,ml,0.200000003,hv,hv74163777,2024-04-07T09:17:14.040Z,2024-04-07,"27 km SSE of Naalehu, Hawaii",earthquake,automatic,hv,hv,7
2024-04-07T08:47:35.556Z,54.7269,-157.9449,5,2.6,ml,0.57,ak,ak0244i7pnf7,2024-04-07T16:08:59.516Z,2024-04-07,"152 km SSE of Perryville, Alaska",earthquake,reviewed,ak,ak,7
2024-04-07T08:46:17.986Z,41.8831,82.2554,10,5.1,mb,0.56,us,us7000makt,2024-04-07T09:10:30.935Z,2024-04-07,"59 km WNW of Kuqa, China",earthquake,reviewed,us,us,7
2024-04-07T08:44:04.416Z,41.7989,82.266,10,4.6,mb,0.91,us,us7000maks,2024-04-07T09:21:32.040Z,2024-04-07,"56 km W of Kuqa, China",earthquake,reviewed,us,us,7
2024-04-07T07:42:51.970Z,19.27199936,-155.3921661,30.29000092,2.48000002,md,0.129999995,hv,hv74163732,2024-04-07T07:44:51.230Z,2024-04-07,"11 km NE of PÄhala, Hawaii",earthquake,automatic,hv,hv,7
2024-04-07T07:31:06.750Z,18.56383333,-65.1215,82.95,3.29,md,0.33,pr,pr71445013,2024-04-07T07:45:31.700Z,2024-04-07,"31 km NW of Charlotte Amalie, U.S. Virgin Islands",earthquake,reviewed,pr,pr,7
2024-04-07T07:25:08.153Z,-6.4373,149.2285,56.123,5.2,mb,0.8,us,us7000make,2024-04-07T14:24:58.795Z,2024-04-07,"43 km SW of Kandrian, Papua New Guinea",earthquake,reviewed,us,us,7
2024-04-07T07:17:39.000Z,18.8615,-68.6748,67,3.76,md,0.5,pr,pr2024098000,2024-04-07T08:04:56.173Z,2024-04-07,"23 km N of Otra Banda, Dominican Republic",earthquake,reviewed,pr,pr,7
2024-04-07T06:32:07.458Z,34.27182388,-97.55672455,1.437550187,3.14,ml,0.912089968,ok,ok2024gvst,2024-04-07T21:55:43.515Z,2024-04-07,"7 km NW of Healdton, Oklahoma",earthquake,automatic,ok,ok,7
2024-04-07T06:21:53.390Z,17.5425,-68.04616667,60.39,3.39,md,0.3,pr,pr71444993,2024-04-07T06:44:36.890Z,2024-04-07,"103 km WSW of Pole Ojea, Puerto Rico",earthquake,reviewed,pr,pr,7
2024-04-07T05:43:09.022Z,61.9806,-151.4544,76.3,3.3,ml,0.72,ak,ak0244i5weu6,2024-04-07T15:32:42.751Z,2024-04-07,"3 km WSW of Skwentna, Alaska",earthquake,reviewed,ak,ak,7
2024-04-07T05:23:42.966Z,-59.2709,-17.5927,10,5.1,mb,0.8,us,us7000majx,2024-04-07T05:40:50.040Z,2024-04-07,east of the South Sandwich Islands,earthquake,reviewed,us,us,7
2024-04-07T04:56:06.629Z,51.9492,-175.0674,77.9,2.5,ml,0.22,ak,ak0244i5ds5b,2024-04-07T15:54:29.647Z,2024-04-07,"65 km WSW of Atka, Alaska",earthquake,reviewed,ak,ak,7
2024-04-07T04:40:23.570Z,47.4805,-129.1079,10,4.1,mb,1.51,us,us7000majs,2024-04-07T12:42:33.056Z,2024-04-07,off the coast of Washington,earthquake,reviewed,us,us,7
2024-04-07T04:39:00.621Z,47.0315,-76.2258,10,3.3,mb_lg,0.43,us,us7000majq,2024-04-07T17:28:17.404Z,2024-04-07,"61 km NNW of Saint-Boniface, Canada",earthquake,reviewed,us,us,7
2024-04-07T03:25:53.081Z,52.6269,-170.9951,108,3.1,ml,0.84,ak,ak0244i4lws2,2024-04-07T15:49:56.590Z,2024-04-07,"148 km WSW of Nikolski, Alaska",earthquake,reviewed,ak,ak,7
2024-04-07T02:38:38.573Z,-21.9729,170.2034,19.036,5,mww,0.96,us,us7000maj2,2024-04-07T02:56:45.040Z,2024-04-07,"244 km E of Tadine, New Caledonia",earthquake,reviewed,us,us,7
2024-04-07T02:15:03.780Z,18.24883333,-67.313,120.58,3.3,md,0.18,pr,pr71444968,2024-04-07T02:35:17.430Z,2024-04-07,"10 km SW of Stella, Puerto Rico",earthquake,reviewed,pr,pr,7
2024-04-07T02:06:00.721Z,24.2254,121.754,14.482,4.6,mb,0.56,us,us7000maix,2024-04-07T07:53:42.767Z,2024-04-07,"31 km NNE of Hualien City, Taiwan",earthquake,reviewed,us,us,7
2024-04-07T01:41:25.320Z,47.217,151.4089,171.604,4.4,mb,0.72,us,us7000maiu,2024-04-07T02:16:43.040Z,2024-04-07,Kuril Islands,earthquake,reviewed,us,us,7
2024-04-07T00:58:23.990Z,-25.904,179.963,559.12,4.4,mb,1.06,us,us7000maij,2024-04-07T02:49:48.040Z,2024-04-07,south of the Fiji Islands,earthquake,reviewed,us,us,7
2024-04-07T00:35:07.510Z,40.3798333,-125.2696667,10,3.39,ml,0.29,nc,nc74030516,2024-04-07T04:34:33.257Z,2024-04-07,"84 km W of Petrolia, CA",earthquake,reviewed,nc,nc,7
2024-04-07T00:28:45.520Z,36.9544983,-121.5868301,7.05,2.49,md,0.22,nc,nc74030511,2024-04-07T04:37:27.587Z,2024-04-07,"6 km SSW of Gilroy, CA",earthquake,automatic,nc,nc,7
2024-04-06T23:00:27.369Z,53.2672,-164.1961,11.181,3.6,mb,0.8,us,us7000maic,2024-04-07T00:16:49.276Z,2024-04-07,"142 km SE of Akutan, Alaska",earthquake,reviewed,us,us,7
2024-04-06T22:47:14.375Z,-20.5248,-175.9934,240.552,4.6,mb,0.64,us,us7000mai6,2024-04-06T23:04:01.040Z,2024-04-06,"101 km NW of Houma, Tonga",earthquake,reviewed,us,us,6
2024-04-06T21:15:08.994Z,24.0002,121.7774,18.418,4.9,mb,0.71,us,us7000mai0,2024-04-06T22:21:48.874Z,2024-04-06,"17 km E of Hualien City, Taiwan",earthquake,reviewed,us,us,6
2024-04-06T18:50:09.334Z,61.9172,-150.5308,58.2,3.1,ml,0.67,ak,ak0244gq579q,2024-04-06T22:15:35.971Z,2024-04-06,"32 km NW of Willow, Alaska",earthquake,reviewed,ak,ak,6
2024-04-06T18:32:00.360Z,44.37183333,-116.0813333,10.05,3.73,ml,0.12,mb,mb90045248,2024-04-07T14:36:48.664Z,2024-04-07,"7 km N of Smiths Ferry, Idaho",earthquake,reviewed,mb,mb,7
2024-04-06T18:12:37.070Z,37.8588333,-122.2423333,8.88,3.2,mw,0.1,nc,nc74030356,2024-04-08T01:23:49.319Z,2024-04-08,"3 km ESE of Berkeley, CA",earthquake,reviewed,nc,nc,8
2024-04-06T17:37:05.150Z,44.3705,-116.0863333,9.54,3.03,ml,0.09,mb,mb90045238,2024-04-07T14:16:48.430Z,2024-04-07,"7 km N of Smiths Ferry, Idaho",earthquake,reviewed,mb,mb,7
2024-04-06T17:25:40.975Z,10.2292,-83.9039,10,4.3,ml,0.44,us,us7000mam6,2024-04-07T14:22:13.040Z,2024-04-07,"13 km W of Guápiles, Costa Rica",earthquake,reviewed,us,us,7
2024-04-06T15:53:11.539Z,24.2233,121.8511,26.353,4.8,mwr,0.71,us,us7000magn,2024-04-06T16:46:06.323Z,2024-04-06,"37 km NE of Hualien City, Taiwan",earthquake,reviewed,us,us,6
2024-04-06T15:39:12.554Z,51.7964,178.456,101.2,3.7,ml,0.36,ak,ak0244goak26,2024-04-06T17:45:21.742Z,2024-04-06,"Rat Islands, Aleutian Islands, Alaska",earthquake,reviewed,ak,ak,6
2024-04-06T14:17:12.910Z,44.371,-116.0833333,9.63,2.6,ml,0.09,mb,mb90045228,2024-04-07T14:01:39.980Z,2024-04-07,"7 km N of Smiths Ferry, Idaho",earthquake,reviewed,mb,mb,7
2024-04-06T13:17:52.876Z,24.2052,121.7694,14.741,4.2,mb,0.83,us,us7000mag8,2024-04-06T15:26:26.040Z,2024-04-06,"30 km NNE of Hualien City, Taiwan",earthquake,reviewed,us,us,6
2024-04-06T13:02:02.789Z,32.4331,-104.6214,6.386,2.6,ml,0.88,us,us7000mag5,2024-04-06T13:18:51.040Z,2024-04-06,"36 km NW of Whites City, New Mexico",earthquake,reviewed,us,us,6
2024-04-06T12:25:43.096Z,-4.0457,142.8857,64.101,5.1,mb,0.58,us,us7000mag1,2024-04-06T22:55:11.235Z,2024-04-06,"20 km NNE of Ambunti, Papua New Guinea",earthquake,reviewed,us,us,6
2024-04-06T12:24:32.887Z,-5.4337,147.1012,198.358,4.2,mb,0.8,us,us7000mafz,2024-04-06T12:42:14.040Z,2024-04-06,"143 km N of Lae, Papua New Guinea",earthquake,reviewed,us,us,6
2024-04-06T12:18:14.800Z,18.06883333,-64.7415,50.71,2.94,md,0.25,pr,pr71444903,2024-04-06T12:46:07.790Z,2024-04-06,"29 km S of Cruz Bay, U.S. Virgin Islands",earthquake,reviewed,pr,pr,6
2024-04-06T12:13:14.870Z,18.4435,-63.8928,126,3.55,md,0.28,pr,pr2024097013,2024-04-06T18:58:21.763Z,2024-04-06,"89 km WNW of Sandy Ground Village, Anguilla",earthquake,reviewed,pr,pr,6
2024-04-06T11:49:38.429Z,15.7308,147.0815,37.013,4.8,mb,1.02,us,us7000maft,2024-04-06T12:11:10.040Z,2024-04-06,"153 km ENE of Saipan, Northern Mariana Islands",earthquake,reviewed,us,us,6
2024-04-06T10:51:39.665Z,59.3928,-152.9171,79.2,2.5,ml,0.41,ak,ak0244gle0j4,2024-04-06T12:05:52.040Z,2024-04-06,"56 km W of Nanwalek, Alaska",earthquake,automatic,ak,ak,6
2024-04-06T10:48:28.250Z,18.1368,-67.5251,151,3.99,md,0.18,pr,pr2024097001,2024-04-06T14:37:53.595Z,2024-04-06,"35 km SW of Stella, Puerto Rico",earthquake,reviewed,pr,pr,6
2024-04-06T10:47:12.078Z,23.8745,121.7218,28.612,5.2,mww,0.71,us,us7000mafi,2024-04-06T16:34:40.221Z,2024-04-06,"16 km SE of Hualien City, Taiwan",earthquake,reviewed,us,us,6
2024-04-06T10:46:39.443Z,40.6941,-74.7444,9.033,2.5,mb_lg,0.27,us,us7000mafe,2024-04-08T00:37:47.224Z,2024-04-08,"7 km WSW of Gladstone, New Jersey",earthquake,reviewed,us,us,8
2024-04-06T10:42:53.312Z,31.829,71.4416,10,4.3,mb,0.95,us,us7000maff,2024-04-07T10:24:34.590Z,2024-04-07,"0 km SE of Dullewala, Pakistan",earthquake,reviewed,us,us,7
2024-04-06T10:37:56.531Z,-42.3621,171.0773,9.399,4.3,mb,0.74,us,us7000mafd,2024-04-07T06:36:12.906Z,2024-04-07,"15 km NW of Karoro, New Zealand",earthquake,reviewed,us,us,7
2024-04-06T10:26:05.398Z,39.7396,72.0492,10,4.1,mb,1.15,us,us7000mafc,2024-04-06T11:56:31.040Z,2024-04-06,"24 km NNW of Daroot-Korgon, Kyrgyzstan",earthquake,reviewed,us,us,6
2024-04-06T10:03:27.239Z,-7.3771,128.8223,138.053,4.3,mb,0.7,us,us7000maf9,2024-04-06T11:53:08.040Z,2024-04-06,"237 km ENE of Lospalos, Timor Leste",earthquake,reviewed,us,us,6
2024-04-06T09:32:53.326Z,5.4294,126.3956,108.563,4.4,mb,0.6,us,us7000maf6,2024-04-06T11:49:42.040Z,2024-04-06,"99 km ESE of Caburan, Philippines",earthquake,reviewed,us,us,6
2024-04-06T09:30:49.080Z,19.77766609,-156.1575012,33.02000046,2.81,ml,0.150000006,hv,hv74162752,2024-04-06T22:20:55.633Z,2024-04-06,"19 km WNW of Kalaoa, Hawaii",earthquake,automatic,hv,hv,6
2024-04-06T09:23:24.195Z,33.0856,76.7915,34.299,4.3,mb,1.05,us,us7000maf3,2024-04-06T11:43:30.040Z,2024-04-06,"43 km SSW of Padam, India",earthquake,reviewed,us,us,6
2024-04-06T08:27:43.110Z,56.4736,-153.7333,19.2,3.2,ml,0.62,ak,ak0244gk20ei,2024-04-06T08:51:20.040Z,2024-04-06,"59 km SSE of Akhiok, Alaska",earthquake,automatic,ak,ak,6
2024-04-06T08:24:30.683Z,-3.278,138.2828,64.859,5,mb,0.48,us,us7000maep,2024-04-06T08:41:54.040Z,2024-04-06,"251 km N of Agats, Indonesia",earthquake,reviewed,us,us,6
2024-04-06T08:10:24.977Z,23.7672,121.6069,10.513,4.1,mwr,0.57,us,us7000maej,2024-04-06T08:46:31.040Z,2024-04-06,"23 km S of Hualien City, Taiwan",earthquake,reviewed,us,us,6
2024-04-06T08:02:47.554Z,55.5251,-156.0799,39.8,2.6,ml,0.63,ak,ak0244gjws3s,2024-04-07T04:28:52.040Z,2024-04-07,"168 km ESE of Chignik, Alaska",earthquake,reviewed,ak,ak,7
2024-04-06T07:50:04.800Z,19.39466667,-155.2734985,0.439999998,2.94,ml,0.370000005,hv,hv74162637,2024-04-06T07:58:15.040Z,2024-04-06,"6 km SW of Volcano, Hawaii",earthquake,automatic,hv,hv,6
2024-04-06T07:49:27.820Z,19.39183426,-155.2754974,1.019999981,2.92,ml,0.109999999,hv,hv74162632,2024-04-06T07:52:05.530Z,2024-04-06,"7 km SW of Volcano, Hawaii",earthquake,automatic,hv,hv,6
2024-04-06T07:16:13.801Z,12.6036,-87.9983,66.605,4.4,mb,0.75,us,us7000mae7,2024-04-06T07:30:27.040Z,2024-04-06,"61 km WSW of Jiquilillo, Nicaragua",earthquake,reviewed,us,us,6
2024-04-06T07:15:55.205Z,53.6247,-164.5796,10,3.7,mb,0.86,us,us7000mae6,2024-04-06T16:58:04.720Z,2024-04-06,"96 km SE of Akutan, Alaska",earthquake,reviewed,us,us,6
2024-04-06T07:12:05.690Z,18.99016667,-66.945,9.01,3.16,md,0.25,pr,pr71444833,2024-04-06T07:28:36.100Z,2024-04-06,"54 km N of Isabela, Puerto Rico",earthquake,reviewed,pr,pr,6
2024-04-06T06:47:08.354Z,59.5102,164.8903,10,4.5,mb,0.6,us,us7000madx,2024-04-06T07:01:25.040Z,2024-04-06,"107 km ENE of Ossora, Russia",earthquake,reviewed,us,us,6
2024-04-06T06:36:13.220Z,18.91066667,-65.18433333,14.21,3.33,md,0.27,pr,pr71444818,2024-04-06T06:50:58.800Z,2024-04-06,"68 km N of Culebra, Puerto Rico",earthquake,reviewed,pr,pr,6
2024-04-06T06:31:14.508Z,-3.9566,-103.0123,10,5,mb,0.47,us,us7000madp,2024-04-06T06:56:02.040Z,2024-04-06,central East Pacific Rise,earthquake,reviewed,us,us,6
2024-04-06T06:13:05.377Z,38.2634,141.6674,69.469,4.4,mb,0.83,us,us7000madm,2024-04-06T06:52:15.040Z,2024-04-06,"27 km SE of Onagawa ChÅ, Japan",earthquake,reviewed,us,us,6
2024-04-06T06:02:18.703Z,23.8997,121.7697,19.965,4.3,mwr,0.63,us,us7000madk,2024-04-06T06:34:49.040Z,2024-04-06,"18 km ESE of Hualien City, Taiwan",earthquake,reviewed,us,us,6
2024-04-06T05:57:38.750Z,18.8578,-64.4101,9,3.62,md,0.19,pr,pr2024097000,2024-04-06T07:37:49.139Z,2024-04-06,"70 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,reviewed,pr,pr,6
2024-04-06T05:17:30.248Z,36.1033,-97.824,8.865,3,mb_lg,0.3,us,us7000mad6,2024-04-06T20:14:57.036Z,2024-04-06,"6 km E of Hennessey, Oklahoma",earthquake,reviewed,us,us,6
2024-04-06T04:55:02.961Z,63.3116,-145.2038,3.8,2.5,ml,0.6,ak,ak0244ghu6xk,2024-04-06T04:56:58.089Z,2024-04-06,"32 km NE of Paxson, Alaska",earthquake,automatic,ak,ak,6
2024-04-06T04:41:54.132Z,60.7335,-148.9698,12.6,2.6,ml,0.79,ak,ak0244ghraut,2024-04-06T05:01:43.040Z,2024-04-06,"16 km WSW of Whittier, Alaska",earthquake,automatic,ak,ak,6
